年度,師資類科,應考人數,到考人數,通過小計,通過率
103年度,總計,"8,924","8,494","5,224",61.5
104年度,總計,"8,415","8,090","4,287",52.99
104年度,幼兒園,"1,393","1,322",509,38.5
104年度,國民小學,"2,322","2,227",978,43.92
104年度,中等學校,"3,871","3,735","2,261",60.54
104年度,特殊教育學校(班),829,806,539,66.87
